capacity,service_rate,runtime,average_arrival_rate,utilization,average_size,idle_proportion,drop_proportion
infinity,1e+06,1000,250428,0.250428,0.333414,0.713232,0
infinity,1e+06,1000,350371,0.350371,0.539754,0.618342,0
infinity,1e+06,1000,448398,0.448398,0.812414,0.524801,0
infinity,1e+06,1000,549515,0.549515,1.21703,0.428734,0
infinity,1e+06,1000,651035,0.651035,1.86687,0.332106,0
infinity,1e+06,1000,749695,0.749695,2.99233,0.238188,0
infinity,1e+06,1000,849404,0.849404,5.68259,0.143402,0
infinity,1e+06,1000,951051,0.951051,20.509,0.0465982,0
infinity,1e+06,2000,250752,0.250752,0.335524,0.713001,0
infinity,1e+06,2000,348633,0.348633,0.536779,0.619885,0
infinity,1e+06,2000,451793,0.451793,0.823853,0.521642,0
infinity,1e+06,2000,549959,0.549959,1.21813,0.428231,0
infinity,1e+06,2000,650950,0.65095,1.86568,0.33217,0
infinity,1e+06,2000,750332,0.750332,2.99486,0.237578,0
infinity,1e+06,2000,848809,0.848809,5.56308,0.143924,0
infinity,1e+06,2000,949704,0.949704,18.9321,0.0478918,0
infinity,1e+06,3000,250235,0.250235,0.333687,0.713493,0
infinity,1e+06,3000,350760,0.35076,0.53998,0.617924,0
infinity,1e+06,3000,449855,0.449855,0.818284,0.52355,0
infinity,1e+06,3000,548423,0.548423,1.21274,0.429705,0
infinity,1e+06,3000,649278,0.649278,1.84383,0.33374,0
infinity,1e+06,3000,749440,0.74944,2.98125,0.238463,0
infinity,1e+06,3000,849344,0.849344,5.69371,0.143352,0
infinity,1e+06,3000,950011,0.950011,19.6866,0.0475578,0
